crop,yield,price
rice,3000,2200
wheat,2800,2100
maize,2500,1900
sugarcane,10000,3500
cotton,1500,6500
millet,2200,2000
pulses,1800,5500
barley,2600,1800
apple,1200,8000
banana,8000,2500
blackgram,1200,6000
chickpea,1500,5200
coconut,6000,3000
coffee,1000,18000
grapes,5000,9000
jute,2000,3500
kidneybeans,1400,7000
lentil,1300,6500
mango,3000,4500
mothbeans,1100,5800
mungbean,1200,7500
muskmelon,6000,2000
orange,4000,5000
papaya,7000,2200
pigeonpeas,1400,6200
pomegranate,3500,10000
watermelon,8000,1500
